french_name;scientific_name;Species Occurrence in Canada _Occurrence de l'espèce au Canada;pop_change_2016;pop_change_cat;data_source;reg_occ_native_sp;range_expanded_1970;sauvagine;oiseau_proie;milieux_humides;marin;forestiers;tous_autres;rivage;prairie;insectivores;espece_oie;sauvagine_milieux_humides_canards;prairires_indigene_dependante;prairie_tolerante_agricole;rivage_migrant_grande_distance;rivage_migrant_courte_distance;forest_winter_south_america;forest_winter_canada;forest_fruits_arbres
Guillemot marmette;Uria aalge;Regular Breeder_Espèce qui niche régulièrement;5,08;Stable_Stables;Seabird Colonies - Atlantic_Colonies oiseaux de mer - Atlantique;1;;;;;1;;;;;;;;;;;;;;
Guillemot de Brünnich;Uria lomvia;Regular Breeder_Espèce qui niche régulièrement;0,305;Stable_Stables;Seabird Colonies - Atlantic_Colonies oiseaux de mer - Atlantique;1;;;;;1;;;;;;;;;;;;;;
Petit Pingouin;Alca torda;Regular Breeder_Espèce qui niche régulièrement;1120;Increasing_Augmentation;Seabird Colonies - Atlantic_Colonies oiseaux de mer - Atlantique;1;;;;;1;;;;;;;;;;;;;;
Guillemot à miroir;Cepphus grylle;Regular Breeder_Espèce qui niche régulièrement;161;Increasing_Augmentation;Seabird Colonies - Atlantic_Colonies oiseaux de mer - Atlantique;1;;;;;1;;;;;;;;;;;;;;
Grand Pingouin;Pinguinus impennis;Extinct or Extirpated_Disparue ou disparue du pays;;;No acceptable data available_On ne dispose pas de données acceptables;;;;;;;;;;;;;;;;;;;;
Guillemot colombin;Cepphus columba;Regular Breeder_Espèce qui niche régulièrement;-7,54;Stable_Stables;CBC NA_RON AmN;1;;;;;1;;;;;;;;;;;;;;
Guillemot marbré;Brachyramphus marmoratus;Regular Breeder_Espèce qui niche régulièrement;;;No acceptable data available_On ne dispose pas de données acceptables;1;;;;;;1;;;;;;;;;;;;1;
Guillemot de Scripps;Synthliboramphus scrippsi;Regular Non-breeder_Espèce non-reproductrice avec présence régulière;;;No acceptable data available_On ne dispose pas de données acceptables;1;;;;;1;;;;;;;;;;;;;;
Guillemot à cou blanc;Synthliboramphus antiquus;Regular Breeder_Espèce qui niche régulièrement;50,4;Increasing_Augmentation;Seabird Colonies - West_Colonies oiseaux de mer - Ouest;1;;;;;1;;;;;;;;;;;;;;
Starique de Cassin;Ptychoramphus aleuticus;Regular Breeder_Espèce qui niche régulièrement;19,9;Stable_Stables;Seabird Colonies - West_Colonies oiseaux de mer - Ouest;1;;;;;1;;;;;;;;;;;;;;
Starique perroquet;Aethia psittacula;Regular Non-breeder_Espèce non-reproductrice avec présence régulière;;;No acceptable data available_On ne dispose pas de données acceptables;1;;;;;1;;;;;;;;;;;;;;
Macareux rhinocéros;Cerorhinca monocerata;Regular Breeder_Espèce qui niche régulièrement;-5,41;Stable_Stables;Seabird Colonies - West_Colonies oiseaux de mer - Ouest;1;;;;;1;;;;;;;;;;;;;;
Macareux moine;Fratercula arctica;Regular Breeder_Espèce qui niche régulièrement;153;Increasing_Augmentation;Seabird Colonies - Atlantic_Colonies oiseaux de mer - Atlantique;1;;;;;1;;;;;;;;;;;;;;
Macareux cornu;Fratercula corniculata;Regular Breeder_Espèce qui niche régulièrement;;;No acceptable data available_On ne dispose pas de données acceptables;1;;;;;1;;;;;;;;;;;;;;
Macareux huppé;Fratercula cirrhata;Regular Breeder_Espèce qui niche régulièrement;-6,3;Stable_Stables;Seabird Colonies - West_Colonies oiseaux de mer - Ouest;1;;;;;1;;;;;;;;;;;;;;
Mouette tridactyle;Rissa tridactyla;Regular Breeder_Espèce qui niche régulièrement;-53,1;Decreasing_Diminution;Seabird Colonies - Atlantic_Colonies oiseaux de mer - Atlantique;1;;;;;1;;;;;;;;;;;;;;
Mouette blanche;Pagophila eburnea;Regular Breeder_Espèce qui niche régulièrement;;;No acceptable data available_On ne dispose pas de données acceptables;1;;;;;1;;;;;;;;;;;;;;
Mouette de Sabine;Xema sabini;Regular Breeder_Espèce qui niche régulièrement;;;No acceptable data available_On ne dispose pas de données acceptables;1;;;;1;1;;;;;;;;;;;;;;
Mouette de Bonaparte;Chroicocephalus philadelphia;Regular Breeder_Espèce qui niche régulièrement;86,8;Increasing_Augmentation;CBC NA_RON AmN;1;;;;1;;;;;;;;;;;;;;;
Mouette rieuse;Chroicocephalus ridibundus;Regular Breeder_Espèce qui niche régulièrement;;;No acceptable data available_On ne dispose pas de données acceptables;1;;;;;1;;;;;;;;;;;;;;
Mouette pygmée;Hydrocoloeus minutus;Regular and Occasional Breeder_Présence régulière et nicheur occasionnelle;;;No acceptable data available_On ne dispose pas de données acceptables;1;;;;1;;;;;;;;;;;;;;;
Mouette rosée;Rhodostethia rosea;Regular Breeder_Espèce qui niche régulièrement;;;No acceptable data available_On ne dispose pas de données acceptables;1;;;;;1;;;;;;;;;;;;;;
Mouette atricille;Leucophaeus atricilla;Regular and Occasional Breeder_Présence régulière et nicheur occasionnelle;;;No acceptable data available_On ne dispose pas de données acceptables;1;;;;;1;;;;;;;;;;;;;;
Mouette de Franklin;Leucophaeus pipixcan;Regular Breeder_Espèce qui niche régulièrement;-60,8;Decreasing_Diminution;BBS;1;;;;1;;;;;;;;;;;;;;;
Goéland de Heermann;Larus heermanni;Regular Non-breeder_Espèce non-reproductrice avec présence régulière;;;No acceptable data available_On ne dispose pas de données acceptables;1;;;;;1;;;;;;;;;;;;;;
Goéland cendré;Larus canus;Regular Breeder_Espèce qui niche régulièrement;-71,1;Decreasing_Diminution;CBC NA_RON AmN;1;;;;1;;;;;;;;;;;;;;;
Goéland à bec cerclé;Larus delawarensis;Regular Breeder_Espèce qui niche régulièrement;292;Increasing_Augmentation;BBS;1;;;;1;;;;;;;;;;;;;;;
Goéland d'Audubon;Larus occidentalis;Regular Breeder_Espèce qui niche régulièrement;;;No acceptable data available_On ne dispose pas de données acceptables;1;;;;;1;;;;;;;;;;;;;;
Goéland de Californie;Larus californicus;Regular Breeder_Espèce qui niche régulièrement;69;Increasing_Augmentation;BBS;1;;;;1;;;;;;;;;;;;;;;
Goéland argenté;Larus argentatus;Regular Breeder_Espèce qui niche régulièrement;-67;Decreasing_Diminution;Seabird Colonies - Atlantic_Colonies oiseaux de mer - Atlantique;1;;;;;1;;;;;;;;;;;;;;
Goéland arctique;Larus glaucoides;Regular Breeder_Espèce qui niche régulièrement;53,5;Increasing_Augmentation;CBC NA_RON AmN;1;;;;1;1;;;;;;;;;;;;;;
Goéland brun;Larus fuscus;Regular Non-breeder_Espèce non-reproductrice avec présence régulière;;;No acceptable data available_On ne dispose pas de données acceptables;1;;;;;1;;;;;;;;;;;;;;
Goéland à ailes grises;Larus glaucescens;Regular Breeder_Espèce qui niche régulièrement;-16,3;Stable_Stables;BBS;1;;;;;1;;;;;;;;;;;;;;
Goéland bourgmestre;Larus hyperboreus;Regular Breeder_Espèce qui niche régulièrement;;;No acceptable data available_On ne dispose pas de données acceptables;1;;;;;1;;;;;;;;;;;;;;
Goéland marin;Larus marinus;Regular Breeder_Espèce qui niche régulièrement;-55,9;Decreasing_Diminution;CBC NA_RON AmN;1;;;;;1;;;;;;;;;;;;;;
Sterne caspienne;Hydroprogne caspia;Regular Breeder_Espèce qui niche régulièrement;535;Increasing_Augmentation;BBS;1;;;;1;;;;;;;;;;;;;;;
Guifette noire;Chlidonias niger;Regular Breeder_Espèce qui niche régulièrement;-64,7;Decreasing_Diminution;BBS;1;;;;1;;;;;;;;;;;;;;;
Sterne de Dougall;Sterna dougallii;Regular Breeder_Espèce qui niche régulièrement;-40,1;Decreasing_Diminution;Seabird Colonies - Atlantic_Colonies oiseaux de mer - Atlantique;1;;;;;1;;;;;;;;;;;;;;
Sterne pierregarin;Sterna hirundo;Regular Breeder_Espèce qui niche régulièrement;;;No acceptable data available_On ne dispose pas de données acceptables;1;;;;1;1;;;;;;;;;;;;;;
Sterne arctique;Sterna paradisaea;Regular Breeder_Espèce qui niche régulièrement;;;No acceptable data available_On ne dispose pas de données acceptables;1;;;;1;1;;;;;;;;;;;;;;
Sterne de Forster;Sterna forsteri;Regular Breeder_Espèce qui niche régulièrement;;;No acceptable data available_On ne dispose pas de données acceptables;1;;;;1;;;;;;;;;;;;;;;
Plongeon catmarin;Gavia stellata;Regular Breeder_Espèce qui niche régulièrement;372;Increasing_Augmentation;CBC NA_RON AmN;1;;;;1;;;;;;;;;;;;;;;
Plongeon du Pacifique;Gavia pacifica;Regular Breeder_Espèce qui niche régulièrement;93,6;Increasing_Augmentation;CBC NA_RON AmN;1;;;;1;;;;;;;;;;;;;;;
Plongeon huard;Gavia immer;Regular Breeder_Espèce qui niche régulièrement;86,7;Increasing_Augmentation;BBS;1;;;;1;;;;;;;;;;;;;;;
Plongeon à bec blanc;Gavia adamsii;Regular Breeder_Espèce qui niche régulièrement;-86,8;Decreasing_Diminution;CBC NA_RON AmN;1;;;;1;;;;;;;;;;;;;;;
Albatros de Laysan;Phoebastria immutabilis;Regular Non-breeder_Espèce non-reproductrice avec présence régulière;;;No acceptable data available_On ne dispose pas de données acceptables;1;;;;;1;;;;;;;;;;;;;;
Albatros à pieds noirs;Phoebastria nigripes;Regular Non-breeder_Espèce non-reproductrice avec présence régulière;;;No acceptable data available_On ne dispose pas de données acceptables;1;;;;;1;;;;;;;;;;;;;;
Albatros à queue courte;Phoebastria albatrus;Regular Non-breeder_Espèce non-reproductrice avec présence régulière;;;No acceptable data available_On ne dispose pas de données acceptables;1;;;;;1;;;;;;;;;;;;;;
Fulmar boréal;Fulmarus glacialis;Regular Breeder_Espèce qui niche régulièrement;-13,2;Stable_Stables;Seabird Colonies - Arctic_Colonies oiseaux de mer - Arctique;1;;;;;1;;;;;;;;;;;;;;
Pétrel de Murphy;Pterodroma ultima;Regular Non-breeder_Espèce non-reproductrice avec présence régulière;;;No acceptable data available_On ne dispose pas de données acceptables;1;;;;;1;;;;;;;;;;;;;;
Pétrel maculé;Pterodroma inexpectata;Regular Non-breeder_Espèce non-reproductrice avec présence régulière;;;No acceptable data available_On ne dispose pas de données acceptables;1;;;;;1;;;;;;;;;;;;;;
Puffin cendré;Calonectris diomedea;Regular Non-breeder_Espèce non-reproductrice avec présence régulière;;;No acceptable data available_On ne dispose pas de données acceptables;1;;;;;1;;;;;;;;;;;;;;
Puffin de Buller;Ardenna bulleri;Regular Non-breeder_Espèce non-reproductrice avec présence régulière;;;No acceptable data available_On ne dispose pas de données acceptables;1;;;;;1;;;;;;;;;;;;;;
Puffin à bec grêle;Ardenna tenuirostris;Regular Non-breeder_Espèce non-reproductrice avec présence régulière;;;No acceptable data available_On ne dispose pas de données acceptables;1;;;;;1;;;;;;;;;;;;;;
Puffin fuligineux;Ardenna grisea;Regular Non-breeder_Espèce non-reproductrice avec présence régulière;;;No acceptable data available_On ne dispose pas de données acceptables;1;;;;;1;;;;;;;;;;;;;;
Puffin majeur;Ardenna gravis;Regular Non-breeder_Espèce non-reproductrice avec présence régulière;;;No acceptable data available_On ne dispose pas de données acceptables;1;;;;;1;;;;;;;;;;;;;;
Puffin à pieds roses;Ardenna creatopus;Regular Non-breeder_Espèce non-reproductrice avec présence régulière;;;No acceptable data available_On ne dispose pas de données acceptables;1;;;;;1;;;;;;;;;;;;;;
Puffin à pieds pâles;Ardenna carneipes;Regular Non-breeder_Espèce non-reproductrice avec présence régulière;;;No acceptable data available_On ne dispose pas de données acceptables;1;;;;;1;;;;;;;;;;;;;;
Puffin des Anglais;Puffinus puffinus;Regular Breeder_Espèce qui niche régulièrement;;;No acceptable data available_On ne dispose pas de données acceptables;1;;;;;1;;;;;;;;;;;;;;
Océanite de Wilson;Oceanites oceanicus;Regular Non-breeder_Espèce non-reproductrice avec présence régulière;;;No acceptable data available_On ne dispose pas de données acceptables;1;;;;;1;;;;;;;;;;;;;;
Océanite à queue fourchue;Oceanodroma furcata;Regular Breeder_Espèce qui niche régulièrement;;;No acceptable data available_On ne dispose pas de données acceptables;1;;;;;1;;;;;;;;;;;;;;
Océanite cul-blanc;Oceanodroma leucorhoa;Regular Breeder_Espèce qui niche régulièrement;-40,4;Decreasing_Diminution;Seabird Colonies - Atlantic_Colonies oiseaux de mer - Atlantique;1;;;;;1;;;;;;;;;;;;;;
Fou de Bassan;Morus bassanus;Regular Breeder_Espèce qui niche régulièrement;280;Increasing_Augmentation;Seabird Colonies - Atlantic_Colonies oiseaux de mer - Atlantique;1;;;;;1;;;;;;;;;;;;;;
Cormoran de Brandt;Phalacrocorax penicillatus;Regular and Occasional Breeder_Présence régulière et nicheur occasionnelle;;;No acceptable data available_On ne dispose pas de données acceptables;1;;;;;1;;;;;;;;;;;;;;
Cormoran à aigrettes;Phalacrocorax auritus;Regular Breeder_Espèce qui niche régulièrement;149;Increasing_Augmentation;Seabird Colonies - Atlantic_Colonies oiseaux de mer - Atlantique;1;;;;;1;;;;;;;;;;;;;;
Grand Cormoran;Phalacrocorax carbo;Regular Breeder_Espèce qui niche régulièrement;31,3;Stable_Stables;Seabird Colonies - Atlantic_Colonies oiseaux de mer - Atlantique;1;;;;;1;;;;;;;;;;;;;;
Cormoran pélagique;Phalacrocorax pelagicus;Regular Breeder_Espèce qui niche régulièrement;-1,27;Stable_Stables;CBC NA_RON AmN;1;;;;;1;;;;;;;;;;;;;;
Pélican d'Amérique;Pelecanus erythrorhynchos;Regular Breeder_Espèce qui niche régulièrement;1070;Increasing_Augmentation;BBS;1;;;;1;;;;;;;;;;;;;;;
Pélican brun;Pelecanus occidentalis;Regular Non-breeder_Espèce non-reproductrice avec présence régulière;;;No acceptable data available_On ne dispose pas de données acceptables;1;;;;1;;;;;;;;;;;;;;;
Butor d'Amérique;Botaurus lentiginosus;Regular Breeder_Espèce qui niche régulièrement;-32,6;Decreasing_Diminution;BBS;1;;;;1;;;;;;;;;;;;;;;
Petit Blongios;Ixobrychus exilis;Regular Breeder_Espèce qui niche régulièrement;-9,54;Stable_Stables;MMP - GL_PSM - GL;1;;;;1;;;;;;;;;;;;;;;
Grand Héron;Ardea herodias;Regular Breeder_Espèce qui niche régulièrement;-19,7;Stable_Stables;BBS;1;;;;1;;;;;;;;;;;;;;;
Grande Aigrette;Ardea alba;Regular Breeder_Espèce qui niche régulièrement;1360;Increasing_Augmentation;BBS;;1;;;;;;;;;;;;;;;;;;
Aigrette neigeuse;Egretta thula;Regular and Occasional Breeder_Présence régulière et nicheur occasionnelle;;;No acceptable data available_On ne dispose pas de données acceptables;1;;;;1;;;;;;;;;;;;;;;
Aigrette bleue;Egretta caerulea;Regular Non-breeder_Espèce non-reproductrice avec présence régulière;;;No acceptable data available_On ne dispose pas de données acceptables;1;;;;1;;;;;;;;;;;;;;;
Héron garde-boeufs;Bubulcus ibis;Regular and Occasional Breeder_Présence régulière et nicheur occasionnelle;;;No acceptable data available_On ne dispose pas de données acceptables;1;;;;1;;;;;;;;;;;;;;;
Héron vert;Butorides virescens;Regular Breeder_Espèce qui niche régulièrement;-29,8;Decreasing_Diminution;BBS;1;;;;1;;;;;;;;;;;;;;;
Bihoreau gris;Nycticorax nycticorax;Regular Breeder_Espèce qui niche régulièrement;-23,4;Stable_Stables;BBS;1;;;;1;;;;;;;;;;;;;;;
